pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_bmassprov,st_teff,st_rad,st_mass,sy_dist
Kepler-121 c,Transit,2014,41.008011,0.216,0.203,0.0182,M-R relationship,5311,0.7,0.86,510.523
Kepler-1210 b,Transit,2016,8.07124073,0.0753,0.152,0.0111,M-R relationship,5568,0.92,0.94,1176.53
Kepler-1211 b,Transit,2016,11.01816836,0.0985,0.227,0.0221,M-R relationship,5705,0.94,0.96,1826.53
Kepler-1212 b,Transit,2016,12.94130146,0.1082,0.191,0.0164,M-R relationship,6051,1.15,1.1,1316.57
Kepler-1213 b,Transit,2016,5.34982412,0.0635,0.106,0.0057,M-R relationship,6050,1.21,1.14,807.812
Kepler-1214 b,Transit,2016,18.82634264,0.128,0.211,0.0194,M-R relationship,5130,0.8,0.85,729.227
Kepler-1215 b,Transit,2016,4.76703963,0.0528,0.109,0.00624,M-R relationship,5616,0.93,0.95,661.022
Kepler-1216 b,Transit,2016,4.37034536,0.0519,0.124,0.0079,M-R relationship,5743,0.98,0.99,1258.36
Kepler-1217 b,Transit,2016,2.03232507,0.0326,0.178,0.0145,M-R relationship,5905,1.08,1.06,1347.71
Kepler-1218 b,Transit,2016,22.9221266,0.1564,0.128,0.00839,M-R relationship,5986,1.1,1.06,840.503
Kepler-1219 b,Transit,2016,16.10467749,0.1418,0.189,0.0162,M-R relationship,5944,1.94,1.25,880.895
Kepler-122 b,Transit,2014,5.766193,0.064,0.209,0.0191,M-R relationship,6050,1.22,1.08,1027.45
Kepler-122 c,Transit,2014,12.465988,0.108,0.524,0.0912,M-R relationship,6050,1.22,1.08,1027.45
Kepler-122 d,Transit,2014,21.587475,0.155,0.196,0.0172,M-R relationship,6050,1.22,1.08,1027.45
Kepler-122 e,Transit,2014,37.993273,0.227,0.232,0.087,Mass,6050,1.22,1.08,1027.45
Kepler-1220 b,Transit,2016,7.42693741,0.0734,0.136,0.0092,M-R relationship,5842,0.99,1,961.907
Kepler-1221 b,Transit,2016,12.00096042,0.0906,0.168,0.0132,M-R relationship,5194,0.82,0.87,913.65
Kepler-1222 b,Transit,2016,1.91694425,0.0282,0.07,0.00131,M-R relationship,5239,0.8,0.84,415.218
Kepler-1223 b,Transit,2016,16.301259,0.1186,0.109,0.00624,M-R relationship,4870,0.75,0.8,459.957
Kepler-1224 b,Transit,2016,13.32351601,0.1165,0.119,0.00733,M-R relationship,6155,1.22,1.18,559.598
Kepler-1225 b,Transit,2016,7.01075434,0.0771,0.162,0.0125,M-R relationship,6140,1.19,1.13,1347.52
Kepler-1226 b,Transit,2016,17.2923453,0.1361,0.129,0.00849,M-R relationship,5923,1.02,1.02,1125.72
Kepler-1227 b,Transit,2016,94.2887577,0.4092,0.204,0.0184,M-R relationship,5747,0.95,0.97,623.706
Kepler-1228 b,Transit,2016,0.57736958,0.0125,0.137,0.0094,M-R relationship,5063,0.74,0.78,515.453
Kepler-1229 b,Transit,2016,86.828989,0.3006,0.125,0.008,M-R relationship,3784,0.51,0.54,265.482
Kepler-123 b,Transit,2014,17.232366,0.135,0.262,0.174,Mass,6089,1.26,1.01,1021.66
Kepler-123 c,Transit,2014,26.695074,0.181,0.132,0.00879,M-R relationship,6089,1.26,1.01,1021.66
Kepler-1230 b,Transit,2016,9.95661537,0.0921,0.242,0.0245,M-R relationship,5961,1.08,1.06,1364.22
Kepler-1231 b,Transit,2016,10.41725184,0.0914,0.127,0.00819,M-R relationship,5778,1,1.01,987.237
Kepler-1232 b,Transit,2016,26.7839183,0.1673,0.172,0.0138,M-R relationship,5471,0.89,0.92,632.865
Kepler-1233 b,Transit,2016,45.1263042,0.263,0.232,0.0229,M-R relationship,6198,1.25,1.16,1178.7
Kepler-1234 b,Transit,2016,11.94014029,0.096,0.251,0.0261,M-R relationship,4967,0.76,0.8,916.749
Kepler-1235 b,Transit,2016,4.16055856,0.0491,0.07,0.00131,M-R relationship,5541,0.9,0.93,540.604
Kepler-1236 b,Transit,2016,31.0571618,0.1803,0.191,0.0164,M-R relationship,5337,0.82,0.86,999.64
Kepler-1237 b,Transit,2016,84.5733226,0.3778,0.255,0.0269,M-R relationship,5472,0.9,0.94,1064.31
Kepler-1238 b,Transit,2016,4.14787559,0.0541,0.172,0.0138,M-R relationship,6386,1.48,1.3,1632.13
Kepler-1239 b,Transit,2016,5.19104016,0.0625,0.259,0.0275,M-R relationship,6564,1.57,1.4,2140.6
Kepler-124 b,Transit,2014,3.410493,0.039,0.065,0.00099,M-R relationship,4984,0.64,0.84,420.046
Kepler-124 c,Transit,2014,13.821375,0.1,0.156,0.0117,M-R relationship,4984,0.64,0.84,420.046
Kepler-124 d,Transit,2014,30.950851,0.17,0.099,0.00444,M-R relationship,4984,0.64,0.84,420.046
Kepler-1240 b,Transit,2016,4.8663815,0.0557,0.103,0.00505,M-R relationship,5682,0.96,0.98,862.186
Kepler-1241 b,Transit,2016,18.5525701,0.1336,0.235,0.0233,M-R relationship,5261,0.8,0.84,968.722
Kepler-1242 b,Transit,2016,13.62798432,0.1039,0.202,0.018,M-R relationship,4895,0.74,0.77,687.615
Kepler-1243 b,Transit,2016,16.8320729,0.1256,0.156,0.0117,M-R relationship,5667,0.94,0.96,758.17
Kepler-1244 b,Transit,2016,3.70428172,0.0502,0.12,0.00752,M-R relationship,6680,1.77,1.46,1075.81
Kepler-1245 b,Transit,2016,4.35409304,0.0484,0.128,0.00839,M-R relationship,5306,0.83,0.86,805.936
Kepler-1245 c,Transit,2016,2.93658468,0.0372,0.128,0.00839,M-R relationship,5306,0.83,0.86,805.936
Kepler-1246 b,Transit,2016,11.32271513,0.0848,0.121,0.00761,M-R relationship,4611,0.69,0.73,436.505
Kepler-1247 b,Transit,2016,13.71220213,0.1091,0.208,0.019,M-R relationship,5303,0.82,0.86,1045.92
Kepler-1248 b,Transit,2016,7.46725407,0.0806,0.105,0.00553,M-R relationship,6149,1.21,1.21,593.026
Kepler-1249 b,Transit,2016,24.3347127,0.167,0.212,0.0197,M-R relationship,6202,1.28,1.19,1904.54
Kepler-125 b,Transit,2014,4.164389,0.041,0.211,0.0195,M-R relationship,3810,0.51,0.54,183.365
Kepler-125 c,Transit,2014,5.774464,0.051,0.066,0.00104,M-R relationship,3810,0.51,0.54,183.365
Kepler-1250 b,Transit,2016,2.60754383,0.0393,0.171,0.0137,M-R relationship,5717,0.98,0.99,2126.85
Kepler-1251 b,Transit,2016,45.0904643,0.2478,0.164,0.0127,M-R relationship,5545,0.89,0.92,902.204
Kepler-1252 b,Transit,2016,15.0540329,0.1078,0.149,0.0108,M-R relationship,5949,1.09,1.06,648.979
Kepler-1253 b,Transit,2016,68.8861915,0.3133,0.119,0.00733,M-R relationship,5850,1.1,0.97,514.524
Kepler-1254 b,Transit,2016,9.99113313,0.0833,0.138,0.00951,M-R relationship,4985,0.75,0.78,622.818
Kepler-1254 c,Transit,2016,3.60084276,0.0422,0.116,0.00705,M-R relationship,4985,0.75,0.78,622.818
Kepler-1254 d,Transit,2016,5.72717226,0.0575,0.117,0.00714,M-R relationship,4985,0.75,0.78,622.818
Kepler-1255 b,Transit,2016,36.2919336,0.2226,0.207,0.0189,M-R relationship,6018,1.12,1.08,1617.07
Kepler-1256 b,Transit,2016,12.4127754,0.1063,0.133,0.00889,M-R relationship,6129,1.36,1.17,891.192
Kepler-1257 b,Transit,2016,2.66831376,0.0376,0.136,0.0092,M-R relationship,5502,0.87,0.9,1105.95
Kepler-1258 b,Transit,2016,0.98494017,0.0201,0.077,0.00178,M-R relationship,5839,0.99,0.99,717.555
Kepler-1259 b,Transit,2016,0.66308526,0.0141,0.128,0.00829,M-R relationship,5053,0.77,0.8,805.562
Kepler-126 b,Transit,2014,10.495711,0.099,0.136,0.0092,M-R relationship,6239,1.36,1.18,237.401
Kepler-126 c,Transit,2014,21.869741,0.162,0.141,0.00982,M-R relationship,6239,1.36,1.18,237.401
Kepler-126 d,Transit,2014,100.283134,0.448,0.223,0.0214,M-R relationship,6239,1.36,1.18,237.401
Kepler-1260 b,Transit,2016,19.1187753,0.1444,0.158,0.0119,M-R relationship,5961,1.08,1.06,1734.43
Kepler-1261 b,Transit,2016,48.4308991,0.239,0.202,0.018,M-R relationship,5006,0.77,0.82,744.294
Kepler-1262 b,Transit,2016,8.67900242,0.083,0.162,0.0125,M-R relationship,5771,0.98,0.99,1054.87
Kepler-1263 b,Transit,2016,4.55139967,0.0499,0.102,0.00489,M-R relationship,5213,0.8,0.84,664.83
Kepler-1264 b,Transit,2016,0.96852602,0.0191,0.105,0.00553,M-R relationship,5791,0.98,0.99,801.993
Kepler-1265 b,Transit,2016,6.49441289,0.0612,0.12,0.00752,M-R relationship,4630,0.69,0.71,583.641
Kepler-1266 b,Transit,2016,28.474748,0.1689,0.23,0.0226,M-R relationship,5044,0.76,0.8,849.312
Kepler-1266 c,Transit,2021,4.86631012,0.052,0.15,0.0109,M-R relationship,4996,0.83,0.79,849.312
Kepler-1267 b,Transit,2016,13.0313945,0.1057,0.269,0.0293,M-R relationship,6096,1.2,1.15,1379.43
Kepler-1268 b,Transit,2016,40.9903986,0.2383,0.181,0.015,M-R relationship,5904,1.09,1.06,1840.77
Kepler-1269 b,Transit,2016,37.3331536,0.226,0.145,0.0104,M-R relationship,5998,1.15,1.1,1097.23
Kepler-127 b,Transit,2014,14.435889,0.125,0.125,0.008,M-R relationship,6106,1.36,1.27,352.794
Kepler-127 c,Transit,2014,29.393195,0.2,0.237,0.0238,M-R relationship,6106,1.36,1.27,352.794
Kepler-127 d,Transit,2014,48.630408,0.28,0.236,0.0235,M-R relationship,6106,1.36,1.27,352.794
Kepler-1270 b,Transit,2016,6.03356196,0.0663,0.296,0.0346,M-R relationship,5047,3.38,1.28,1095.05
Kepler-1271 b,Transit,2016,3.0255955,0.0418,0.132,0.00879,M-R relationship,6143,1.23,1.13,831.991
Kepler-1272 b,Transit,2016,51.1309704,0.2705,0.211,0.0195,M-R relationship,5926,1.09,1.06,1206.37
Kepler-1273 b,Transit,2016,28.625653,0.1857,0.222,0.0213,M-R relationship,5566,0.91,0.94,1114.24
Kepler-1274 b,Transit,2016,6.98152703,0.0806,0.127,0.00819,M-R relationship,6179,2.17,1.45,614.648
Kepler-1275 b,Transit,2016,3.65691115,0.0488,0.132,0.00879,M-R relationship,6296,1.36,1.23,1153.98
Kepler-1276 b,Transit,2016,12.5720095,0.1072,0.106,0.0057,M-R relationship,6188,1.21,1.14,538.481
Kepler-1277 b,Transit,2016,40.8365012,0.2237,0.143,0.01,M-R relationship,5578,0.92,0.94,557.193
Kepler-1278 b,Transit,2016,3.23941344,0.0419,0.09,0.00317,M-R relationship,6074,1.16,1.11,889.426
Kepler-1279 b,Transit,2016,23.4774101,0.1633,0.156,0.0117,M-R relationship,6221,1.33,1.21,1494.22
Kepler-128 b,Transit,2013,15.09,0.1231,0.128,0.00242,Mass,6136,1.61,1.09,396.379
Kepler-128 c,Transit,2013,22.804,0.1622,0.12,0.00283,Mass,6136,1.61,1.09,396.379
Kepler-1280 b,Transit,2016,66.5579057,0.38,0.167,0.0131,M-R relationship,6227,1.32,1.2,1486.7
Kepler-1281 b,Transit,2016,3.11602791,0.0415,0.146,0.0105,M-R relationship,5353,0.83,0.87,1090
Kepler-1282 b,Transit,2016,2.13194651,0.0335,0.138,0.00951,M-R relationship,5504,0.89,0.92,1103.29
Kepler-1283 b,Transit,2016,12.9460978,0.1062,0.17,0.0136,M-R relationship,6175,1.25,1.16,2921.99
Kepler-1284 b,Transit,2016,0.66407381,0.0143,0.108,0.00606,M-R relationship,5123,0.79,0.84,882.324
Kepler-1285 b,Transit,2016,14.7967458,0.1268,0.087,0.00274,M-R relationship,6170,1.28,1.2,422.269
Kepler-1286 b,Transit,2016,11.25402929,0.0991,0.192,0.0166,M-R relationship,5753,0.98,1,1354.46
Kepler-1287 b,Transit,2016,11.47685909,0.0976,0.137,0.0094,M-R relationship,5715,0.94,0.96,1003.26
Kepler-1288 b,Transit,2016,2.76122421,0.0435,0.1,0.00459,M-R relationship,6132,1.29,1.2,814.078
Kepler-1289 b,Transit,2016,7.99019627,0.0785,0.136,0.0092,M-R relationship,6080,1.17,1.1,1053.57
Kepler-129 b,Transit,2014,15.79,0.13,0.214,0.06293,Msini,5770,1.65,1.18,408.845
Kepler-129 c,Transit,2014,82.2,0.39,0.225,0.13529,Mass,5770,1.65,1.18,408.845
Kepler-1290 b,Transit,2016,4.69500134,0.0557,0.127,0.00819,M-R relationship,5660,0.93,0.95,1593.7
Kepler-1291 b,Transit,2016,8.63043276,0.0779,0.148,0.0107,M-R relationship,5216,0.8,0.84,897.352
Kepler-1292 b,Transit,2016,3.27646405,0.0443,0.162,0.0125,M-R relationship,5556,0.93,0.95,1493.43
Kepler-1293 b,Transit,2016,5.57654784,0.0659,0.087,0.00274,M-R relationship,6241,1.28,1.18,1028.16
Kepler-1294 b,Transit,2016,115.6862258,0.4684,0.285,0.0324,M-R relationship,5776,0.97,0.99,1855.7
Kepler-1295 b,Transit,2016,3.81371974,0.0464,0.138,0.00951,M-R relationship,5486,0.89,0.92,1174.46
Kepler-1296 b,Transit,2016,8.3839865,0.0896,0.081,0.00218,M-R relationship,5359,0.83,0.87,1551.54
Kepler-1297 b,Transit,2016,1.68189002,0.0283,0.087,0.00274,M-R relationship,5818,0.99,0.99,1439.47
Kepler-1298 b,Transit,2016,7.12811928,0.082,0.117,0.00714,M-R relationship,6339,2,1.45,544.163
Kepler-1299 b,Transit,2016,19.9400874,0.1357,0.266,0.0288,M-R relationship,5609,0.91,0.94,1404.94
Kepler-130 b,Transit,2014,8.457458,0.079,0.091,0.00328,M-R relationship,5884,1.13,0.96,316.663
Kepler-130 c,Transit,2014,27.50868,0.178,0.259,0.0275,M-R relationship,5879,1.17,1,316.663
Kepler-130 d,Transit,2014,87.517905,0.377,0.146,0.0105,M-R relationship,5884,1.13,0.96,316.663
Kepler-1300 b,Transit,2016,22.2419092,0.1655,0.122,0.00771,M-R relationship,6130,1.79,1.29,777.025
Kepler-1301 b,Transit,2016,9.08237046,0.0815,0.125,0.008,M-R relationship,5188,0.81,0.85,854.28
Kepler-1302 b,Transit,2016,8.83922659,0.0795,0.128,0.00829,M-R relationship,5236,0.82,0.86,634.58
Kepler-1303 b,Transit,2016,7.56127224,0.0751,0.127,0.00819,M-R relationship,5771,1,1.01,897.783
Kepler-1304 b,Transit,2016,16.1288853,0.1202,0.204,0.0184,M-R relationship,5259,0.81,0.85,2176.08
Kepler-1305 b,Transit,2016,13.5630972,0.1109,0.168,0.0132,M-R relationship,5701,0.96,0.97,1575.23
Kepler-1306 b,Transit,2016,16.29595382,0.123,0.17,0.0136,M-R relationship,5727,0.97,0.98,1107.5
Kepler-1307 b,Transit,2016,18.01621096,0.1369,0.22,0.021,M-R relationship,5884,1.08,1.06,1014.62
Kepler-1308 b,Transit,2016,2.10433812,0.025,0.046,0.00029,M-R relationship,3468,0.34,0.35,112.705
Kepler-1309 b,Transit,2016,28.8432647,0.1679,0.211,0.0195,M-R relationship,5235,0.8,0.85,845
Kepler-131 b,Transit,2014,16.092,0.1238,0.215,0.051,Mass,5685,1.03,1.02,228.678
Kepler-131 c,Transit,2014,25.5169,0.1684,0.075,0.026,Mass,5685,1.03,1.02,228.678
Kepler-1310 b,Transit,2016,0.67933627,0.0148,0.128,0.00839,M-R relationship,5549,0.88,0.91,569.185
Kepler-1311 b,Transit,2016,11.1726994,0.0989,0.111,0.00651,M-R relationship,5748,1.4,1.05,866.331
Kepler-1311 c,Transit,2016,2.53573424,0.0368,0.109,0.00624,M-R relationship,5748,1.4,1.05,866.331
Kepler-1311 d,Transit,2021,197.5110016,0.6711,0.862,0.212,M-R relationship,5616,1.67,1.03,866.331
Kepler-1312 b,Transit,2016,5.44832529,0.0603,0.187,0.0159,M-R relationship,5719,0.92,0.99,299.104
Kepler-1312 c,Transit,2021,1.11611998,0.0209,0.092,0.00337,M-R relationship,5721,0.91,0.98,299.104
Kepler-1313 b,Transit,2016,3.83309118,0.046,0.157,0.0118,M-R relationship,5453,0.85,0.92,174.234
Kepler-1314 b,Transit,2016,5.42474928,0.0504,0.456,0.072,M-R relationship,4188,0.59,0.6,141.9868506
Kepler-1315 b,Transit,2016,0.84338011,0.0163,0.123,0.0078,M-R relationship,4861,0.75,0.8,480.869
Kepler-1315 c,Transit,2021,6.56606007,0.064,0.165,0.0128,M-R relationship,4818,0.86,0.81,480.869
Kepler-1316 b,Transit,2016,87.9732136,0.3859,0.316,0.0386,M-R relationship,5884,1.12,1.04,800.871
Kepler-1317 b,Transit,2016,0.56887443,0.0128,0.139,0.00961,M-R relationship,5144,0.79,0.83,728.303
Kepler-1318 b,Transit,2016,213.257663,0.6085,0.277,0.031,M-R relationship,4598,0.7,0.73,475.248
Kepler-1319 b,Transit,2016,2.88676265,0.0296,0.12,0.00742,M-R relationship,3655,0.54,0.56,103.917
Kepler-132 b,Transit,2014,6.178196,0.067,0.108,0.00606,M-R relationship,6003,1.18,0.98,349.549
Kepler-132 c,Transit,2014,6.414914,0.068,0.114,0.00687,M-R relationship,6003,1.18,0.98,349.549
Kepler-132 d,Transit,2014,18.010199,0.136,0.138,0.00951,M-R relationship,6003,1.18,0.98,349.549
Kepler-132 e,Transit,2016,110.2869374,0.4393,0.105,0.00553,M-R relationship,6023,1.1,1.03,349.549
Kepler-1320 b,Transit,2016,0.86838653,0.0163,0.152,0.0111,M-R relationship,4817,0.74,0.8,647.424
Kepler-1321 b,Transit,2016,11.12830484,0.0781,0.439,0.0676,M-R relationship,4094,0.53,0.54,769.146
Kepler-1321 c,Transit,2016,2.22649109,0.0267,0.214,0.02,M-R relationship,4094,0.53,0.54,769.146
Kepler-1321 d,Transit,2021,5.72092009,0.0501,0.234,0.0233,M-R relationship,3640,0.5,0.51,769.146
Kepler-1322 b,Transit,2016,0.96286738,0.0183,0.144,0.0101,M-R relationship,5488,0.87,0.9,1350.32
Kepler-1322 c,Transit,2021,6.45998001,0.0652,0.192,0.0166,M-R relationship,5704,0.8,0.9,1350.32
Kepler-1323 b,Transit,2016,0.92990668,0.0191,0.136,0.0092,M-R relationship,6169,1.4,1.18,465.417
Kepler-1324 b,Transit,2016,4.11584468,0.0466,0.135,0.00909,M-R relationship,4776,0.73,0.78,481.667
Kepler-1325 b,Transit,2016,33.8786838,0.2004,0.255,0.0269,M-R relationship,5550,0.91,0.93,973.368
Kepler-1326 b,Transit,2016,42.3514267,0.2743,0.373,0.0512,M-R relationship,6725,1.74,1.45,698.326
Kepler-1327 b,Transit,2016,14.88801098,0.1186,0.161,0.0123,M-R relationship,5885,1.03,1.02,678.069
Kepler-1328 b,Transit,2016,4.52158888,0.0529,0.087,0.00284,M-R relationship,5780,0.99,1,813.543
Kepler-1329 b,Transit,2016,9.33646594,0.0747,0.194,0.0168,M-R relationship,4500,0.69,0.72,588.037
Kepler-133 b,Transit,2014,8.129976,0.083,0.157,0.0118,M-R relationship,5736,1.43,1.02,653.6
Kepler-133 c,Transit,2014,31.517586,0.204,0.253,0.0266,M-R relationship,5736,1.43,1.02,653.6
Kepler-1330 b,Transit,2016,10.10769068,0.0889,0.147,0.0106,M-R relationship,5608,0.94,0.97,1720.48
Kepler-1331 b,Transit,2016,0.78916165,0.0142,0.094,0.00364,M-R relationship,4508,0.69,0.72,319.197
Kepler-1332 b,Transit,2016,11.87456832,0.0986,0.122,0.00771,M-R relationship,5581,0.9,0.95,528.685
Kepler-1333 b,Transit,2016,109.6471842,0.4382,0.251,0.0261,M-R relationship,5628,0.92,0.94,932.446
Kepler-1334 b,Transit,2016,15.64591713,0.1229,0.204,0.0184,M-R relationship,5614,0.91,0.94,1223.04
Kepler-1335 b,Transit,2016,6.26406846,0.0615,0.129,0.00849,M-R relationship,4903,0.74,0.77,621.853
Kepler-1336 b,Transit,2016,23.198681,0.1595,0.177,0.0144,M-R relationship,5512,1.3,0.94,1126.64
Kepler-1336 c,Transit,2016,5.77721211,0.0631,0.153,0.0112,M-R relationship,5512,1.3,0.94,1126.64
Kepler-1337 b,Transit,2016,24.4002549,0.1441,0.215,0.0201,M-R relationship,4523,0.67,0.7,601.629
Kepler-1338 b,Transit,2016,0.93511806,0.0193,0.082,0.00227,M-R relationship,5909,1.05,1.04,753.26
Kepler-1339 b,Transit,2016,1.34155513,0.0234,0.063,0.0009,M-R relationship,5586,0.93,0.94,371.049
Kepler-134 b,Transit,2014,5.317429,0.06,0.178,0.0147,M-R relationship,5983,1.18,1.06,334.797
Kepler-134 c,Transit,2014,10.105785,0.092,0.112,0.00669,M-R relationship,5983,1.18,1.06,334.797
Kepler-1340 b,Transit,2016,0.66502692,0.0153,0.138,0.00951,M-R relationship,6331,1.42,1.27,981.779
Kepler-1341 b,Transit,2016,132.9968322,0.4498,0.267,0.029,M-R relationship,4662,0.72,0.79,476.957
Kepler-1342 b,Transit,2016,2.21571036,0.0313,0.148,0.0107,M-R relationship,5527,0.9,0.93,890.724
Kepler-1343 b,Transit,2016,3.35183158,0.0449,0.172,0.0138,M-R relationship,5759,0.93,0.95,1756.71
Kepler-1344 b,Transit,2016,4.7683049,0.0568,0.164,0.0127,M-R relationship,5981,1.13,1.09,853.959
Kepler-1345 b,Transit,2016,44.6169557,0.2638,0.211,0.0194,M-R relationship,6449,1.55,1.32,1355.02
Kepler-1346 b,Transit,2016,3.40165668,0.044,0.141,0.00982,M-R relationship,6133,1.21,1.14,843.701
Kepler-1347 b,Transit,2016,14.00947528,0.104,0.092,0.0034,M-R relationship,5193,0.79,0.82,321
Kepler-1348 b,Transit,2016,27.5722742,0.1834,0.173,0.0139,M-R relationship,5911,1.04,1.04,1213.82
Kepler-1349 b,Transit,2016,2.12823928,0.0341,0.062,0.00085,M-R relationship,6086,1.28,1.16,276.323
Kepler-135 b,Transit,2014,6.00253,0.067,0.161,0.0124,M-R relationship,6090,1.27,1.25,621.855
Kepler-135 c,Transit,2014,11.448708,0.103,0.103,0.00521,M-R relationship,6090,1.27,1.25,621.855
Kepler-1350 b,Transit,2016,4.4968604,0.0413,0.225,0.0217,M-R relationship,3827,0.53,0.55,340.691
Kepler-1350 c,Transit,2016,1.76678906,0.0222,0.154,0.0115,M-R relationship,3827,0.53,0.55,340.691
Kepler-1351 b,Transit,2016,0.91614077,0.0156,0.058,0.00065,M-R relationship,4439,0.67,0.7,202.782
Kepler-1352 b,Transit,2016,1.87788275,0.03,0.079,0.00201,M-R relationship,6118,1.16,1.11,670.829
Kepler-1353 b,Transit,2016,24.7543966,0.153,0.161,0.0123,M-R relationship,4776,0.72,0.76,593.384
Kepler-1354 b,Transit,2016,76.613377,0.3521,0.265,0.0287,M-R relationship,6168,1.24,1.16,1119.45
Kepler-1355 b,Transit,2016,1.28958811,0.0224,0.13,0.00859,M-R relationship,5352,0.83,0.88,911.269
Kepler-1356 b,Transit,2016,0.63400294,0.0136,0.136,0.0093,M-R relationship,5106,0.78,0.82,845.228
Kepler-1357 b,Transit,2016,3.0091324,0.041,0.114,0.00687,M-R relationship,5597,0.9,0.93,1015.69
Kepler-1358 b,Transit,2016,7.06317341,0.0656,0.1,0.00459,M-R relationship,5181,0.79,0.82,546.998
Kepler-1359 b,Transit,2016,59.4970952,0.2769,0.252,0.0264,M-R relationship,4709,0.72,0.78,614.859
Kepler-136 b,Transit,2014,11.5789,0.106,0.183,0.062,Mass,6165,1.35,1.2,420.818
Kepler-136 c,Transit,2014,16.399235,0.133,0.178,0.0145,M-R relationship,6165,1.35,1.2,420.818
Kepler-1360 b,Transit,2016,40.5286413,0.2866,0.303,0.0361,M-R relationship,6778,1.83,1.51,1516.27
Kepler-1361 b,Transit,2016,3.57554956,0.0431,0.077,0.00178,M-R relationship,5131,0.79,0.83,389.143
Kepler-1362 b,Transit,2016,136.205626,0.4626,0.232,0.0229,M-R relationship,4857,0.74,0.8,731.298
Kepler-1363 b,Transit,2016,2.94194094,0.0363,0.112,0.0066,M-R relationship,4839,0.72,0.76,541.714
Kepler-1364 b,Transit,2016,13.32196237,0.1284,0.192,0.0166,M-R relationship,6805,1.79,1.49,1056.9
Kepler-1365 b,Transit,2016,7.69993485,0.075,0.082,0.00227,M-R relationship,5770,1.05,1,840.128
Kepler-1365 c,Transit,2016,4.77468005,0.0545,0.071,0.00137,M-R relationship,5770,1.05,1,840.128
Kepler-1366 b,Transit,2016,2.16457097,0.0273,0.128,0.00829,M-R relationship,4070,0.6,0.62,465.826
Kepler-1367 b,Transit,2016,1.57409027,0.0236,0.082,0.00227,M-R relationship,4106,0.6,0.62,401.484
Kepler-1368 b,Transit,2016,0.67564949,0.0153,0.147,0.0106,M-R relationship,5906,1.08,1.07,1635.82
Kepler-1369 b,Transit,2016,25.873148,0.1741,0.24,0.0242,M-R relationship,5761,0.99,0.99,1236.56
Kepler-137 b,Transit,2014,8.436387,0.077,0.131,0.00869,M-R relationship,5187,0.8,0.91,302.979
Kepler-137 c,Transit,2014,18.735753,0.13,0.168,0.0132,M-R relationship,5187,0.8,0.91,302.979
Kepler-1370 b,Transit,2016,20.2641684,0.1495,0.164,0.0127,M-R relationship,6202,1.29,1.19,1004.1
Kepler-1370 c,Transit,2016,7.44142113,0.0767,0.113,0.00678,M-R relationship,6202,1.29,1.19,1004.1
Kepler-1371 b,Transit,2016,3.4462039,0.0393,0.065,0.00099,M-R relationship,5361,0.83,0.87,515.334
Kepler-1371 c,Transit,2016,2.00541269,0.0274,0.057,0.00062,M-R relationship,5361,0.83,0.87,515.334
Kepler-1372 b,Transit,2016,1.31155557,0.024,0.113,0.00678,M-R relationship,5677,0.97,0.98,1303.22
Kepler-1373 b,Transit,2016,1.29123275,0.0242,0.103,0.00521,M-R relationship,6299,1.33,1.22,1699.46
Kepler-1374 b,Transit,2016,10.65276707,0.0918,0.204,0.0184,M-R relationship,5323,0.81,0.85,1078.46
Kepler-1375 b,Transit,2016,3.3004192,0.0471,0.155,0.0116,M-R relationship,6704,1.78,1.47,1430.84
Kepler-1376 b,Transit,2016,5.30880656,0.0598,0.094,0.00364,M-R relationship,5659,0.97,0.98,868.056
Kepler-1377 b,Transit,2016,0.74092842,0.0153,0.112,0.0066,M-R relationship,5218,0.82,0.86,1146.1
Kepler-1378 b,Transit,2016,11.95398936,0.0885,0.196,0.0172,M-R relationship,4407,0.67,0.7,506.434
Kepler-1379 b,Transit,2016,0.88184115,0.0171,0.116,0.00705,M-R relationship,5188,0.79,0.83,971.325
Kepler-138 b,Transit,2014,10.3126,0.076,0.047,0.00021,Mass,3841,0.44,0.52,66.8624
Kepler-138 c,Transit,2014,13.7813,0.0906,0.107,0.0062,Mass,3841,0.44,0.52,66.8624
Kepler-138 d,Transit,2014,23.0881,0.12781,0.108,0.00201,Mass,3841,0.44,0.52,66.8624
Kepler-1380 b,Transit,2016,10.3108245,0.0917,0.128,0.00829,M-R relationship,5570,0.94,0.96,2462.94
Kepler-1381 b,Transit,2016,25.3842686,0.1728,0.201,0.0179,M-R relationship,5747,0.94,0.96,1197.04
Kepler-1382 b,Transit,2016,16.3583055,0.1404,0.168,0.0132,M-R relationship,6161,1.72,1.36,738.261
Kepler-1383 b,Transit,2016,13.9093583,0.1179,0.126,0.00809,M-R relationship,6370,1.44,1.26,1027.21
Kepler-1384 b,Transit,2016,15.36262753,0.1126,0.173,0.0139,M-R relationship,4919,0.74,0.78,618
Kepler-1385 b,Transit,2016,2.88879862,0.0415,0.076,0.00171,M-R relationship,5732,1.29,1.15,688.795
Kepler-1386 b,Transit,2016,6.73972381,0.068,0.111,0.00651,M-R relationship,5733,1.03,1.02,835.882
Kepler-1387 b,Transit,2016,2.27952666,0.031,0.083,0.00236,M-R relationship,5046,0.77,0.82,455.358
