Formulation,RemovedM,dGtotal,dG1,Z,Hybrid,OS,BV_vac,Charge_vac,Mag_vac,Mag_env,Mag_inst,BV_Oxygen,Total_d_electrons,d_up_tot,d_down_tot,d_diff,t2g,eg,band_center_diff,instabilityindex,Ionicradius
VFeTi,V(5),-3.807145377,5.32849076,23,1.308283252,3.1,3.00980754,9.6512,-1.2379,0.5807,1.8186,2.176825352,3.4431,0.9055,2.5376,1.6321,2.0065,1.4366,4.429799747,0.405156583,64
VFeTi,V(6),-3.520696044,5.614940093,23,1.308283252,3.1,3.00980754,9.6512,-1.2379,0.5807,1.8186,2.116514924,3.4431,0.9055,2.5376,1.6321,2.0065,1.4366,4.429799747,0.405156583,64
VFeTi,V(7),-3.031320038,6.104316099,23,1.311498406,2.9,3.016769783,9.6508,-1.2892,-2.4028,-1.1136,2.176825352,3.4364,0.8671,2.5693,1.7022,1.9956,1.4408,4.525037234,0.405156583,64
VFeTi,V(8),-3.152438778,5.983197359,23,1.311498406,2.9,3.016769783,9.6508,-1.2892,-2.4028,-1.1136,2.167110909,3.4364,0.8671,2.5693,1.7022,1.9956,1.4408,4.525037234,0.405156583,64
VFeTi,V(9),-3.340630617,5.79500552,23,1.294827444,3,2.992175317,9.6492,-1.3393,0.0623,1.4016,2.116514924,3.5658,0.8384,2.7274,1.889,2.0173,1.5482,3.869753158,0.405156583,64
NiMnAl,Mn(1),3.269852317,8.211128376,25,1.50952672,3.5,3.915320455,11.4563,-2.2918,4.7416,7.0334,2.21184986,5.1679,1.2426,3.9253,2.6827,2.9194,2.2486,3.504027367,0.495149385,53
NiMnAl,Al(2),2.444080155,10.04935621,13,1.016879413,3,2.946578317,0.4143,-0.0029,1.4841,1.487,2.096749462,0,0,0,0,0,0,5.553243297,0.495149385,53.5
NiMnAl,Ni(3),1.191674674,4.241950733,28,0.593799838,2.5,2.763263391,15.0383,0.7775,3.5726,2.7951,2.110499025,8.2404,4.5179,3.7225,0.7954,4.7081,3.5322,4.510555117,0.495149385,56
NiMnAl,Ni(4),1.938381506,4.988657566,28,0.593799838,2.5,2.763263391,15.0383,0.7775,3.5726,2.7951,2.096749462,8.2404,4.5179,3.7225,0.7954,4.7081,3.5322,4.510555117,0.495149385,56
NiMnAl,Ni(5),0.435498683,3.485774742,28,0.395900544,2.2,2.412858237,15.0428,1.2618,-1.4895,-2.7513,2.110499025,8.2909,4.6849,3.606,1.0789,4.5741,3.7169,4.28235927,0.495149385,69
